"function","addr","addr_end","type","unit","name","name_for_id","usertype","decimals","description"
4,11,,"U16","0,1V","Voltage ",,"float",1,
4,12,,"U16","0,01A","Current ",,"float",2,
4,13,,"S16","W","Active Power ",,"float",0,
4,15,,"S16","VA","Apparent Power ",,"float",0,
4,14,,"S16","VAr ","Reactive Power ",,"float",0,
4,16,,"S16","0,01","Power Factor ",,"float",2,
4,17,,"U16","0,01Hz ","Frequency ",,"float",2,
4,60,,"S32","0,01kWh","Import Active Energy ",,"float",2,
4,62,,"S32","0,01kWh","Export Active Energy ",,"float",2,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,0,
