"function","addr","addr_end","type","unit","name","name_for_id","usertype","decimals","description"
4,0,,"U16",,"password",,"int",0,
4,1,,"U16",,"addr_baud",,"int",0,
4,3,,"U16",,"pt_transfo_ratio",,"int",0,
4,4,,"U16",,"ct_transfo_ratio",,"int",0,
4,"0x61",,"U16","0,1V","Voltage ",,"float",1,
4,"0x64",,"U16","0,01A","Current ",,"float",2,
4,"0x67",,"S16","W","Active Power ",,"float",0,
4,"0x6F",,"S16","VA","Apparent Power ",,"float",0,
4,"0x6B",,"S16","VAr ","Reactive Power ",,"float",0,
4,"0x73",,"U16","0,01","Power Factor ",,"float",2,
4,"0x77",,"float","0,01Hz ","Frequency ",,"float",2,
4,"0x47",,"float","kWh ","Import Active Energy ",,"float",4,
4,"0x49",,"float","kWh ","Export Active Energy ",,"float",4,
4,"0x4B",,"float","kVArh ","Import Reactive Energy ",,"float",4,
4,"0x4D",,"float","kVArh ","Export Reactive Energy ",,"float",4,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,0,
