"function","addr","addr_end","type","unit","name","name_for_id","usertype","decimals","description"
4,"    0x000",,"Float","V","Phase 1 line to neutral volts",,"float",0,
4,"    0x002",,"Float","V","Phase 2 line to neutral volts",,"float",0,
4,"    0x004",,"Float","V","Phase 3 line to neutral volts",,"float",0,
4,"     0x006",,"Float","A","Phase 1 current",,"float",3,
4,"     0x008",,"Float","A","Phase 2 current",,"float",3,
4,"     0x00A",,"Float","A","Phase 3 current",,"float",3,
4,"    0x00C",,"Float","W","Phase 1 power",,"float",0,
4,"    0x00E",,"Float","W","Phase 2 power",,"float",0,
4,"    0x010",,"Float","W","Phase 3 power",,"float",0,
4,"       0x012",,"Float","VA","Phase 1 volt amps",,"float",0,
4,"       0x014",,"Float","VA","Phase 2 volt amps",,"float",0,
4,"       0x016",,"Float","VA","Phase 3 volt amps",,"float",0,
4,"      0x018",,"Float","VAr","Phase 1 reactive power",,"float",0,
4,"      0x01A",,"Float","VAr","Phase 2 reactive power",,"float",0,
4,"      0x01C",,"Float","VAr","Phase 3 reactive power",,"float",0,
4,"     0x01E",,"Float","None","Phase 1 power factor",,"float",3,
4,"     0x020",,"Float","None","Phase 2 power factor",,"float",3,
4,"     0x022",,"Float","None","Phase 3 power factor",,"float",3,
4," 0x024",,"Float","Degrees","Phase 1 phase angle",,"float",0,
4," 0x026",,"Float","Degrees","Phase 2 phase angle",,"float",0,
4," 0x028",,"Float","Degrees","Phase 3 phase angle",,"float",0,
4,"    0x02A",,"Float","V","Average line to neutral volts",,"float",0,
4,"     0x02E",,"Float","A","Average line current",,"float",3,
4,"     0x030",,"Float","A","Sum of line currents",,"float",3,
4,"    0x034",,"Float","W","Total power",,"float",0,
4,"       0x038",,"Float","VA","Total volt amps",,"float",0,
4,"      0x03C",,"Float","VAr","Total Var",,"float",0,
4,"     0x03E",,"Float","None","Total power factor",,"float",3,
4," 0x042",,"Float","Degrees","Total phase angle",,"float",3,
4,"       0x046",,"Float","Hz","Frequency",,"float",2,
