"function","addr","addr_end","type","unit","name","name_for_id","usertype","decimals","description",
2,12501,,"bool",,"No grid ","No grid ","bool",,,
2,12502,,"bool",,"Grid over voltage ",,"bool",,,
2,12503,,"bool",,"Grid under voltage ",,"bool",,,
2,12504,,"bool",,"Grid over frequency ",,"bool",,,
2,12505,,"bool",,"Grid under frequency ",,"bool",,,
2,12506,,"bool",,"Grid imbalance ",,"bool",,,
2,12507,,"bool",,"Grid frequency jitter ",,"bool",,,
2,12508,,"bool",,"Grid impedance is too large ",,"bool",,,
2,12509,,"bool",,"Grid current tracking fault ",,"bool",,,
2,12510,,"bool",,"METER communication failed ",,"bool",,,
2,12511,,"bool",,"FailSafe ",,"bool",,"Not the menu option, maybe it means EPM failsafe has triggered, not just enabled",
2,12512,,"bool",,"Reserved grid fault",,"bool",,,
2,12513,,"bool",,"Reserved grid fault",,"bool",,,
2,12514,,"bool",,"Reserved grid fault",,"bool",,,
2,12515,,"bool",,"Reserved grid fault",,"bool",,,
2,12516,,"bool",,"Reserved grid fault",,"bool",,,
2,12517,,"bool",,"Backup overvoltage fault ",,"bool",,,
2,12518,,"bool",,"Backup overload fault ",,"bool",,,
2,12519,,"bool",,"Reserved backup fault",,"bool",,,
2,12520,,"bool",,"Reserved backup fault",,"bool",,,
2,12521,,"bool",,"Reserved backup fault",,"bool",,,
2,12522,,"bool",,"Reserved backup fault",,"bool",,,
2,12523,,"bool",,"Reserved backup fault",,"bool",,,
2,12524,,"bool",,"Reserved backup fault",,"bool",,,
2,12525,,"bool",,"Reserved backup fault",,"bool",,,
2,12526,,"bool",,"Reserved backup fault",,"bool",,,
2,12527,,"bool",,"Reserved backup fault",,"bool",,,
2,12528,,"bool",,"Reserved backup fault",,"bool",,,
2,12529,,"bool",,"Reserved backup fault",,"bool",,,
2,12530,,"bool",,"Reserved backup fault",,"bool",,,
2,12531,,"bool",,"Reserved backup fault",,"bool",,,
2,12532,,"bool",,"Reserved backup fault",,"bool",,,
2,12533,,"bool",,"Battery not connected ",,"bool",,,
2,12534,,"bool",,"Battery overvoltage detection ",,"bool",,,
2,12535,,"bool",,"Battery undervoltage detection ",,"bool",,,
2,12536,,"bool",,"Reserved battery fault",,"bool",,,
2,12537,,"bool",,"Reserved battery fault",,"bool",,,
2,12538,,"bool",,"Reserved battery fault",,"bool",,,
